variable,label
B14001_001,Estimate!!Total:
B14001_002,Estimate!!Total:!!Enrolled in school:
B14001_003,"Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool"
B14001_004,Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten
B14001_005,Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4
B14001_006,Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8
B14001_007,Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12
B14001_008,"Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years"
B14001_009,Estimate!!Total:!!Enrolled in school:!!Graduate or professional school
B14001_010,Estimate!!Total:!!Not enrolled in school
